county_name,crime_rate_per_100000,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population,Households,Mean,Stdev
"Jasper County, IN",44.92497529,1,2,0,12,47,228,4,0,33389,1327.0,79421.29685811224,238104667.28812677
"Monroe County, IL",44.78547756,0,8,0,7,48,203,2,0,33493,8633.0,137734.77933518557,297630834.11015844
"Shelby County, IN",44.71372041,0,2,2,16,138,951,53,2,44729,556.0,73103.6129965515,178578500.4660951
"Kittson County, MN",44.41483455,0,1,0,1,6,15,1,0,4503,623.0,84002.25316877522,416683167.7542218
"Grant County, OK",44.16961131,0,0,0,2,22,28,4,0,4528,648.0,87536.71004941995,238104667.28812677
"Putnam County, OH",44.00375499,1,6,2,6,41,125,12,0,34088,3598.0,103196.8304610772,595261668.2203169
"Ogle County, IL",43.9056982,1,1,1,20,106,317,6,3,52385,8483.0,97316.05032218722,535735501.39828515
"Kewaunee County, WI",43.89173372,1,3,0,5,30,222,9,1,20505,229.0,76165.7508700334,59526166.82203169
"Steuben County, IN",43.65795448,2,4,6,3,174,816,21,4,34358,1123.0,96036.34585313717,238104667.28812677
"Benson County, ND",43.62367311,0,3,0,0,5,13,5,0,6877,560.0,82856.60284341875,357157000.9321901
